CustomerID,InteractionID,InteractionDate,Platform,InteractionType,Sentiment
08a911a3-65e6-4f5d-a6a1-ae7ddcbe28a2,a83fa04c-f109-4f24-8ce1-2078154f6a1c,,Instagram,Comment,Neutral
efdfdfc9-5dbb-4478-911a-101a390a0285,28a69c4b-a2e4-4c74-a130-1132d7733fdf,,Instagram,Like,Neutral
3e44871b-f56c-4576-b1ca-d1dc999e2166,0c409883-8396-48e4-83fb-887329848696,,Instagram,Comment,Positive
aa5eea4b-c948-41f4-9285-229a470002aa,4034dadf-6541-40d6-a7f0-16b20a009c04,,Instagram,Share,Positive
481bcc62-9dcb-4766-bbdd-79f5554d73f8,785b7854-4548-4251-83f2-a25da78bfe40,,Twitter,Like,Positive
9c16dd71-a1f0-4801-8f00-860c2ee154a1,be6a0be7-84a8-428e-8526-13c3500e35e9,,Instagram,Comment,Neutral
e8d8dccc-96b4-4451-ac1b-c4de6d18c3dd,26e650e5-a8af-45ea-9c49-3569a7d1a2fe,,Facebook,Comment,Negative
aac57e67-f138-426a-8f26-c4620e29f4e6,4fcac03b-1081-49b9-a101-6fb70fa0b7d4,,Instagram,Comment,Neutral
851911c8-6d3f-4a7f-b70c-9b93057d9f94,b25e5bbd-3d24-45a1-bc86-02cd697c1f55,,Instagram,Like,Neutral
0305625f-6264-4666-ad6c-ae34df05d0d8,5e71bb25-c9ed-4362-a9f8-6802cebfc670,,Instagram,Share,Positive
b8e6ad59-8b84-405d-af66-b0c1bebf7578,9edcf60c-599e-4a2f-a723-1fb6776b8cf4,,Facebook,Comment,Positive
378542a7-dd80-4639-b411-6a2fd45e9852,02b5ca8d-c6f2-4fc1-a3eb-3e5010111e1a,,Instagram,Share,Negative
851911c8-6d3f-4a7f-b70c-9b93057d9f94,f4e35835-e3a6-4dee-a9fd-848603a322e4,2024-01-26,Instagram,Comment,Neutral
6cd5d668-396c-4e82-97ae-a8bb7fa1d010,6ae1f833-cd5d-4513-8675-81cc41ecd28f,,Twitter,Comment,Neutral
81d213e6-e289-482d-b2a9-326144b84d2c,ef15ee00-2882-4ef5-b1f3-2a004a265d77,2023-10-01,Facebook,Share,Negative
3e9cc599-ba23-4de3-9c18-19a2ce4764e0,acc05b0c-b63b-4f76-b256-8af404f1f9b7,,Facebook,Comment,Neutral
2d1c8d1a-be1f-45a9-82d8-036f5e17d809,b8c326c7-3b35-4cea-875a-013600d7bd64,2024-03-28,Twitter,Like,Neutral
013c4cd9-1d0f-4004-8772-065ab426d105,4b1394bb-49e0-4182-8649-67bb090b995b,2023-08-15,Instagram,Comment,Neutral
1904daec-e2bf-4b0b-854c-baaf9e4df3b7,1490753a-3b6e-4f3a-9617-4eef23d10dd1,,Instagram,Share,Neutral
6fa9f01c-09f8-44fd-8e18-51ca4f3921bf,d59378e6-8b0e-49f9-9d32-f035a850bc37,,Twitter,Comment,Negative
b6f0bcbc-ca5d-4981-a636-27355554fc85,c8ec6e63-10ee-4315-aad6-adac1e72bac1,,Instagram,Share,Positive
eb8bb3ce-e182-4a9c-8084-c55c738815e1,ee2c3d14-248c-48b0-aa80-4ea97e449bf8,,Instagram,Comment,Negative
3a204a5c-66e7-44fe-b1b7-6ca40fb677b5,8951d3fa-3a1e-441c-aa05-097b3119fdee,,Twitter,Comment,Positive
7ae84dc5-3dee-4566-84a9-1820bdae61e4,673abb07-888a-4598-afc5-d247481cffb3,,Instagram,Comment,Neutral
0773c2a4-9485-40ba-b6a5-645cd15d9837,e357650f-b285-45b9-b258-9d377dab5bc8,,Facebook,Comment,Neutral
cc5da89b-c295-41c3-b27d-c759cca78ba8,5e8467bb-f74e-4fb0-bb31-2de7532072aa,,Instagram,Share,Negative
15e129b7-48ba-4b37-8ba4-703745e17019,dc4100a8-e190-40c0-ac4c-8adae07755ee,,Instagram,Share,Positive
257413b6-9a31-4572-a119-64d4fb014017,cbd54de1-1297-4257-89ac-d350cff54e14,,Facebook,Like,Negative
148b854a-0393-4c10-9762-be68ee86ae9e,ded49d45-4e99-41d9-9508-d0557e80127e,,Instagram,Like,Negative
f71e72b6-e451-42da-a1d5-6ef629c553f8,b0aa16ce-a4f5-44eb-bd53-887ab7eea93c,,Facebook,Share,Positive
e61caa35-25d3-4132-8e2a-675d36c3d9d3,84952f93-a761-437f-bcbb-5f01032d2ac6,,Facebook,Comment,Positive
eee8a7f8-1a5b-4c9f-947c-8511fa6a771d,28862db4-ae30-405d-8c0b-c3fcf01a4366,,Twitter,Comment,Negative
5659a8c6-0397-4396-b561-52ec1c8a760b,d7f6806b-f348-431e-9198-07f0685d8d8e,,Facebook,Share,Very Negative
fa5c10b5-c09a-4de9-905a-20f880a5a6d5,af232446-8c20-4bf0-af12-3da5fa60efe5,,Instagram,Like,Neutral
3375b9af-aba4-4db6-9b17-4785756b4287,a95ca26f-845f-4d2f-8c33-c32978756a29,,Instagram,Share,Negative
a420497a-653c-4a0f-bdfa-32543a7a94f6,f5e42ecf-a621-4813-9afc-9d3fec90a6b0,,Instagram,Like,Negative
c6253172-8dc9-4c82-8816-9d2740b0e3b8,0608db08-1256-49fe-ad9f-f5e79cf15c18,,Facebook,Share,Negative
8ecb60d8-2993-4586-b0cd-41309f3e559b,d1cdcc2a-6592-42f8-8bac-018f96d3053f,,Instagram,Like,Negative
818e18a9-18f0-4ffc-9cbf-8c447e4bee69,c8b207b4-adf7-46c2-be6a-e3bad500f98e,,Facebook,Share,Negative
b0180e7a-16e4-45bf-a417-0f2f5ca442bd,b2e1ddbd-a2eb-4c46-8dd9-1a7bc16d4a86,,Facebook,Comment,Positive
b9c92d6c-fb4c-4d0b-8c72-7b7c1ae9f79c,640796d9-6658-4f70-ab31-aac260bba8da,,Facebook,Share,Positive
9c649d2d-4a30-4ae5-865a-044f7f0bb386,3c8e224b-e7ed-41bd-9435-d7fb84da28f8,,Twitter,Share,Neutral
4824bfa4-0e82-461c-a6ab-4b79b8b3ee39,e3c4b48a-b8f0-4867-a36a-3031bf523036,,Facebook,Like,Neutral
c3575491-5c91-4a46-a63b-506bc3395c62,179af99a-d89e-47c4-9249-a89fd6b7f53d,,Twitter,Share,Neutral
3aa802b5-f744-4c3a-ba56-d6bad87185b6,2e4e75cf-10dc-43cb-863d-14c8d8b5c3d9,,Instagram,Like,Positive
69392978-5c7e-4872-9058-2a4590c9247d,2110b9ac-9dcc-4c24-8845-f550c2322ac6,,Facebook,Share,Neutral
4605103f-9b58-43c8-baf9-73abfb2c0441,d9cde457-464b-4f0f-9d6a-847336052650,,Twitter,Comment,Negative
b12c84ec-8291-4fa9-8688-b3a8e0bfbd1a,34800f80-7e3b-47fc-9c19-a3ab31ede043,2024-01-01,Instagram,Share,Neutral
58ced86b-155c-45b1-96c4-92e39af3751e,7d7f1f20-150c-491c-9dc3-fe2922a19836,,Instagram,Comment,Negative
43230006-9636-403f-966c-f7e3166e504d,fd97dec8-f44b-45cd-a05b-7cfd8ac32c50,,Twitter,Share,Neutral
527e3928-a848-4f61-a9d9-8c3cf8ce62c4,410e1c8d-6312-402c-8aa6-9b86c1f1d7b0,,Facebook,Comment,Positive
5304fc02-34ca-4162-9284-3b42e90f3bce,8efef4fd-d647-45d7-85c7-24ed287cd722,,Facebook,Share,Positive
b7f316e2-d6dc-4b42-ae5d-429da67a3c64,37522c90-4efc-48f6-b5a3-e222b1e1a54c,,Twitter,Share,Negative
a4a6c9aa-bbbf-4155-9100-4f770078551d,1b4a3127-2256-4f07-a45e-6f27845c9eb3,,Instagram,Share,Positive
a7b667f7-d6c7-4fc6-b6d9-bcdeea32297c,39622755-9e00-4107-8ee1-5defd5a5dbab,,Twitter,Like,Neutral
4b54cb6f-865e-486f-ae13-f963b85c54fb,a9f9f57f-eb3f-48ea-8e52-b7db5d01682f,,Facebook,Share,Neutral
c71e53bd-d52e-43c7-853a-bde70ff3cf38,944c6adf-771e-4d0d-ad9d-468989412691,,Facebook,Like,Positive
772896ae-d11f-4bbe-8cca-3e3043b390e6,2c8b11e6-4b17-476d-8852-b4a4f13de913,2024-04-04,Twitter,Comment,Neutral
0319aa2f-f571-4a05-8947-bd9c7e4ac2ee,2ea4b9f9-806a-4e52-b63a-2f57cff5ce4c,,Twitter,Share,Negative
ecb192f4-a8ed-422c-9f08-712dd8523245,e8e3dd21-73ab-4193-83b9-6ef0a0465b93,,Facebook,Share,Negative
f770e561-feaf-49f5-8a33-7dae0e80cb43,43c4493e-cf22-4dcc-920e-8429e8794e4b,,Facebook,Share,Positive
ee462937-e0c4-42bd-a4ef-7df8946ba9f7,f797a268-81d2-47ea-94da-da1d2d7dd2d9,,Instagram,Comment,Positive
084a89ee-5eee-48c0-b30b-53da89258015,32dd274d-a995-4d6d-90f6-85d6b1f29f57,,Facebook,Share,Positive
979c8237-bae7-4240-9224-b283bc02529e,2adea7eb-2d35-412a-8779-58392d1a4bd0,,Facebook,Comment,Negative
b7a81804-7f5d-41e9-87e4-1b5be4024c09,fd848a95-b4f2-4000-a401-68fb32323dc0,,Facebook,Comment,Neutral
23b3aa96-cec0-4964-8176-98ce984158a8,a77e69e9-a9aa-4b06-8bbb-c123b97f6604,,Instagram,Like,Neutral
e0625caa-2eb9-4b59-873b-f10de1b8ee1d,8ac4b542-3f09-4b3e-a5e6-3fe3ba8a7754,,Twitter,Like,Positive
35cf919d-33b7-4f0e-98f1-47da30e6e6ba,de97f404-c126-4892-9851-4fa91a166985,2023-09-01,Twitter,Share,Neutral
cb35a4e2-2808-4644-ab5a-8c87a6ced6d4,795885dd-41c1-49b4-8285-4b09d32ad998,,Instagram,Like,Positive
3d0312c8-80bf-4eeb-91fe-cb842be19ca4,7b1c3eed-9b0a-4f36-95ae-12e023ef6094,,Twitter,Like,Negative
2bde4c68-1f79-42cf-879c-a2b1a42f87ed,8da3eb6a-d82a-4be1-94eb-855a3a908594,,Facebook,Share,Positive
47bf3bc6-17a6-4b21-82b5-90f78af4c25c,4eac4bf7-b0ff-4eb9-af31-69b5413a99af,,Instagram,Like,Positive
13a4c3f7-8549-4b13-afe0-486f14f86ea4,9184bd9d-3aa6-48eb-9feb-8f383e250461,,Twitter,Comment,Negative
28dad012-b308-4cd7-b60f-edb22f8a6022,789fabd5-bcb4-499b-baf1-8d8fa5547bb9,,Instagram,Like,Neutral
4e903b9a-eaaf-484d-a018-da1ea6ab113a,8fc6616c-ce6d-4e5b-94e2-998e23d6b10d,,Instagram,Like,Negative
fc9f91cc-00f1-4ffa-8016-878c069f3a1b,a25a8aed-28bb-4880-944d-0712f60ae1b8,,Twitter,Like,Negative
6e0b43fc-e01d-46b6-8a25-d21fff7ccbe1,54ee8cea-959a-42c1-96f2-45f72e3f5d55,,Twitter,Like,Positive
c19eaecc-f4b1-4c6b-adcf-d12795814955,b4056d0f-0b62-4819-893a-721da82077cc,2023-09-05,Instagram,Share,Positive
cb968037-1e4a-42c7-8d2f-3eb0b27b5295,922d3f28-3fc9-4086-a5af-4816e9370c58,,Instagram,Comment,Neutral
9ccd2f9d-6d29-4861-b76c-22ef1d53fc26,ac9c2970-3bdb-44c3-9e5b-64cd0fb0c49d,,Facebook,Like,Positive
5dcc04f0-2300-4707-b737-82abb839b428,24bc4157-e0e9-47d4-a415-1bf0f63c4a42,,Facebook,Share,Positive
96a87ecb-2f53-4c22-8507-13c3cfd6d85a,b21a3eed-d0e3-4cad-bb70-a5ad4484cda8,,Facebook,Share,Neutral
