CustomerID,Age,Gender,Location,IncomeLevel,SignupDate
9207fa75-5758-48d1-94ad-19c041e0520f,51.0,Female,Jensenberg,Low,
50118139-7264-428f-81cc-a25fddc5d6dd,44.0,Male,Port Carl,Medium,
7d1f2bbc-8d16-4fbc-9b37-ece3324e8ed4,50.0,Female,Jessebury,High,
2de49c7c-32ae-4ba8-b058-622a090d7094,53.0,Female,Emilyville,Low,
c96a5ee9-f1a6-416a-adc6-1c8b128c7399,150.0,Male,Hansontown,High,
8602d631-457c-49c1-8b59-8efb2a4448d4,51.0,Male,East Keithville,High,
56f11a95-76f1-4a97-b38f-db1dc95da1ed,59.0,Female,East Nathan,Medium,
3f520998-2bc4-4f38-af82-5ab2de339984,59.0,Female,Smithside,High,
b2f4c25e-be11-4912-9d14-5c288616e56e,29.0,Male,South Timothyhaven,High,
8de7560f-370d-4cfd-8135-20a3de237264,31.0,Female,Colemanstad,Low,
fcb513ca-6a74-4745-b855-6cc3e891cc02,53.0,Female,East Stuart,Medium,
9fc2bfa2-6dd0-4557-883b-18c88361a277,24.0,Female,North Kelly,Medium,
30ac13c2-740f-4650-a33b-2fe3c5a6adc2,49.0,Male,Morenoville,Low,
981deb70-b1e1-4d06-a2b3-489bec80c7e9,29.0,Male,Robertborough,Low,
8704391b-7a78-454a-a257-cefaa907d324,65.0,Male,Sherryborough,High,
2577a150-d45a-4a04-b9e5-312e050d6f68,45.0,Male,Port Scott,High,
2fa0a6aa-a9cc-46ad-b567-e26976a98234,53.0,Male,Gonzalezshire,High,
23b3aa96-cec0-4964-8176-98ce984158a8,64.0,Female,West Pamborough,Low,2020-01-30
45fd78bb-ce7d-49b2-a43f-c418abc621d7,52.0,Male,East Tonya,Medium,
c56a1423-e1b0-45c1-974a-55f5fa029c88,61.0,Male,South Kim,Medium,
ef562111-91d8-47bc-a2b1-d6622604fd3d,61.0,Female,Loganbury,Low,
24c99886-9e2e-4b95-a28d-6a809ddf8447,47.0,Male,South Rachelview,Low,
b79b5054-0141-4007-8a24-fca072355faf,18.0,Female,East Samanthaview,High,
62a8fa58-109b-4f81-a035-ba7ce2b39f38,19.0,Male,New Margaret,Low,
0cdab4e0-134c-41c2-b737-34b1bab1a96a,70.0,Female,Amandaburgh,Low,
36bc83c7-adc6-45b8-960d-685e9d19661e,32.0,Female,New Annafort,Medium,
f06d1c8c-b764-4881-945e-580ba05f4e7f,23.0,Male,Cervantesbury,Low,
96a87ecb-2f53-4c22-8507-13c3cfd6d85a,40.0,Male,North Christopher,Medium,
be148fdc-ceb4-4b47-9f09-219b96803d11,63.0,Male,West Edwardhaven,Medium,
bd2ce275-8d35-4a95-8812-2e012d3ece09,44.0,Female,Scottside,Medium,
3151b4f8-afe8-405a-b152-aa1cc8616f05,64.0,Male,East Brianfort,Low,
703ac047-6c29-4d13-8ab3-373a4df6c98c,54.0,Female,Duranchester,Low,
2f3e0093-5f1f-493e-abc3-80fb29363656,68.0,Female,North Luke,High,
013c4cd9-1d0f-4004-8772-065ab426d105,39.0,Male,South Jamesburgh,Medium,
b1d6a46b-214c-4592-9688-82d0fd977bb2,150.0,Female,North Cindyhaven,Low,
7ab3863d-017c-4f63-93a2-4728b714a8fd,33.0,Male,North Leslie,Low,
b6af124a-7396-46fb-b57e-bea31cd86b5c,51.0,Female,East Joshua,Low,
d91e9fd4-1922-4b2c-b958-0401ebbc6e48,52.0,Female,East Katie,Low,
ea3a479e-5284-4aac-9486-036c404ecdb5,64.0,Female,Mariaside,High,
d20f21c5-a3c3-40c6-8451-9869c58a48c0,63.0,Male,Harrisburgh,Low,
c9f831b4-43cf-4ed9-9b47-09542e239c70,53.0,Female,East Ryanbury,Medium,
987f285b-7246-48bb-a73d-d48bfcb97bcd,68.0,Male,Lake Stephanie,Medium,
348c5ab5-992d-4780-ba71-d1a5e3818191,46.0,Female,New Jesseside,Low,
42d3c5b0-ec77-4567-b66c-449783077049,65.0,Female,Kristopherfort,High,
230c7314-8729-4043-a486-7b0110e235b1,46.0,Male,East Michael,High,
51011001-3f94-45eb-9456-27bb4754f2f5,68.0,Male,Lake Nathan,High,
9ece1b55-20b8-4d22-9d6a-bd54a7374e5b,25.0,Female,Jennifermouth,Low,
4b54cb6f-865e-486f-ae13-f963b85c54fb,58.0,Female,Jeremyberg,Low,
e8a5fdb8-fcd9-450c-9635-e376266c8bcf,48.0,Female,Robinburgh,High,
f43422cc-a731-4574-a05d-9adf4dd4bea4,54.0,Female,Huberfurt,Low,
92a23695-98ec-457e-906c-b6627ef55b45,28.0,Female,Lake Cameron,Low,
6fd7c547-70cf-41a8-b6b4-07a1d66f80ff,39.0,Female,Lake Allisonmouth,High,
